sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target
5.220641137686589,4.046839608984975,1.122417945217158,-0.11505789218038237,0
5.5206737330400735,3.062554368942108,1.7134031800678398,0.8730096676721186,0
4.769758160987958,3.6933569569661886,2.1312492636432414,0.7970149889103293,0
4.93569162830131,3.157714430414939,1.2350306173634795,-0.9591556733868138,0
4.514143304643805,3.7884882623880505,0.949057864550266,0.6030699981888472,0
5.024181886257772,2.7645314565541246,1.4442902486500278,0.9446081131478717,0
4.375278291928871,3.732163205525381,1.6403723330291022,0.3294195192319155,0
4.709270776845986,3.8749145220335857,1.522687697427606,-0.08714047052796248,0
4.929759547753058,2.5394881698673455,1.0236346649061383,-0.5320032143997,0
5.491796122905748,2.8669545213741805,2.360963869452678,0.1540732411925777,0
5.523893433332151,5.187031618816183,1.6191908030236777,0.2030910089527248,0
4.121327393308328,2.703287564028625,1.7373716998334148,0.10436179397844013,0
4.966592502155942,2.339482050318293,0.9532795792239332,0.41274266231098855,0
3.7376882117005517,3.3701130102843737,0.9421709066296315,0.4699214223895851,0
6.390042436037414,3.8269540558890123,1.3475864755799631,0.533257031184695,0
5.2226500615966955,4.504322055498755,1.3464193876159296,0.873681783007133,0
5.743593282206439,3.9264796253281946,1.4243866472704005,-0.35722041600097665,0
5.933612369192633,3.3168845012453514,1.1495738692354058,0.9463104697586644,0
6.198394868516601,3.545685208498398,1.8429649170162217,-0.007505501723761743,0
4.691409622913483,3.7372573740964596,1.4373919271860116,0.47183565048792186,0
4.83117720343102,3.655765200579334,1.7484865114607748,0.6256837520595253,0
4.808028047447922,2.776871155139422,2.274273206054814,0.02996897827218864,0
5.1733385047544935,4.184055086134683,1.8542344715283103,1.1355209370867076,0
4.839682713280132,2.8079830143017723,1.6703094752939454,0.3678456393924818,0
4.738798734816789,3.235195853019823,2.0931181802530965,0.7021981435212925,0
4.742072462819237,2.317261183664745,1.622172915098225,1.2898653285865318,0
